companyId;companyName;ticker;price;p_L;dy;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;receitas_Cagr5;liquidezMediaDiaria;vpa;lpa;valorMercado;lucros_Cagr5
417;HYPERA;HYPE3;43,09;16,8356;2,8591;2,6013;11,7294;1,2104;14,5791;63,23;33,0;22,99;3,8707;8,2387;-1,808;0,31;15,45;7,19;11,64;0,63;2,85;0,47;0,53;1,8;0,66240876;12,96;144427911,84;16,5651;2,5595;27294103263,07;6,6
357;BB SEGURIDADE;BBSE3;33,88;12,3998;5,8031;7,1621;10,5712;4,864;10,5712;;;;;24,1322;-8,1689;0,0;57,76;39,23;;;;0,68;0,32;1,99;0,24398111;;171135145,13;4,7304;2,7323;67760000000,0;6,37
303;BR MALLS;BRML3;8,26;12,6187;0,649;0,6179;7,2029;0,3729;9,5118;88,97;69,5;39,67;5,0062;8,27;-0,408;0,07;4,9;2,95;6,41;0,2;2,31;0,6;0,39;2,1;0,07384525;-2,54;101955988,8;13,3675;0,6546;6841542281,84;25,92
250;ANIMA;ANIM3;3,71;-4,005;;0,5572;3,887;0,143;13,8748;56,74;10,86;-10,54;0,422;4,6201;-0,1792;0,34;-13,91;-3,57;3,94;1,43;9,99;0,26;0,71;1,18;0,00343974;22,51;20788743,94;6,658;-0,9263;1498353266,55;
180;BARDELLA;BDLL3;12,25;3,5604;;-0,0992;-0,6926;0,0284;-6,6143;-49,16;-112,68;21,92;0,7803;-0,1928;-0,0497;0,04;-2,79;0,8;-357,89;;-6,04;-0,29;1,29;0,74;-0,03112911;-39,65;2654,75;-123,4744;3,4406;16224452,8;
180;BARDELLA;BDLL4;8,85;2,5722;;-0,0717;-0,5003;0,0205;-6,6143;-49,16;-112,68;21,92;0,5638;-0,1393;-0,0359;0,04;-2,79;0,8;-357,89;;-6,04;-0,29;1,29;0,74;-0,02248919;-39,65;6454,6;-123,4744;3,4406;16224452,8;
220;SARAIVA;SLED3;6,59;0,4159;;-0,1736;0,2639;0,464;0,4112;43,87;290,32;184,23;0,7663;-0,5973;-0,6553;0,61;-41,73;111,56;-85,85;;0,32;-2,67;3,67;0,27;-0,00240022;-44,82;6034,42;-37,97;15,8439;21457407,11;
220;SARAIVA;SLED4;1,9;0,1199;;-0,05;0,0761;0,1338;0,4112;43,87;290,32;184,23;0,2209;-0,1722;-0,1889;0,61;-41,73;111,56;-85,85;;0,32;-2,67;3,67;0,27;-0,00069202;-44,82;18147,31;-37,97;15,8439;21457407,11;
376;KLABIN;KLBN11;19,92;4,5663;7,5759;2,8071;3,0189;0,5053;5,7873;51,69;37,96;25,1;1,146;2,8381;-0,7231;0,44;61,47;11,07;14,36;2,57;2,77;0,18;0,78;2,45;0,10792659;18,37;113785632,1;7,0963;4,3624;22381684739,9;14,58
376;KLABIN;KLBN3;4,0;4,5846;7,5456;2,8184;3,031;0,5074;5,7873;51,69;37,96;25,1;1,1506;2,8495;-0,726;0,44;61,47;11,07;14,36;2,57;2,77;0,18;0,78;2,45;0,10836003;18,37;1692446,1;1,4193;0,8725;22381684739,9;14,58
376;KLABIN;KLBN4;4,0;4,5846;7,5456;2,8184;3,031;0,5074;5,7873;51,69;37,96;25,1;1,1506;2,8495;-0,726;0,44;61,47;11,07;14,36;2,57;2,77;0,18;0,78;2,45;0,10836003;18,37;8631133,68;1,4193;0,8725;22381684739,9;14,58
226;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS;LLIS3;1,65;-1,6117;;-2,2213;-2,3479;0,916;-5,3902;58,11;-55,44;-80,76;1,3016;-10,325;-1,323;0,7;-137,83;-56,84;-52,92;;-3,04;-0,41;1,41;0,78;0,03036675;-4,9;570747,58;-0,7428;-1,0238;1400176577,25;
275;BICICLETAS MONARK;BMKS3;350,0;6,9912;5,1079;0,8155;15,0822;0,7337;0,6236;27,02;58,86;126,97;8,8769;0,9553;-3,5098;0,08;11,66;10,49;3,03;-0,78;-14,46;0,9;0,11;25,81;0,01542488;-1,89;21678,0;429,2029;50,0627;159162500,0;7,47
424;DASA;DASA3;12,07;-19,9297;0,8032;0,9055;8,6257;0,27;18,0037;28,99;6,26;-2,71;0,5403;4,3769;-0,3719;0,5;-4,54;-1,35;3,94;0,98;9,38;0,3;0,7;1,29;-0,02380716;27,93;5044020,29;13,3289;-0,6056;6766179646,48;
785;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;BRBI11;11,3;8,0307;12,2124;1,5638;10,2193;0,2858;3,1225;36,49;17,71;22,54;1,8101;1,504;-33,0644;0,16;19,47;3,56;0,77;-1,09;-7,1;0,18;0,82;1,24;0,37817209;;791380,65;7,2259;1,4071;1186451455,2;
785;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;BRBI3;0,0;0,0;;0,0;0,0;0,0;3,1225;36,49;17,71;22,54;0,0;0,0;0,0;0,16;19,47;3,56;0,77;-1,09;-7,1;0,18;0,82;1,24;0,0;;;2,4086;0,469;1186451455,2;
785;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;BRBI4;0,0;0,0;;0,0;0,0;0,0;3,1225;36,49;17,71;22,54;0,0;0,0;0,0;0,16;19,47;3,56;0,77;-1,09;-7,1;0,18;0,82;1,24;0,0;;;2,4086;0,469;1186451455,2;
487;ENAUTA PARTICIPAÇÕES;ENAT3;14,06;4,1898;12,1509;0,9384;2,6;0,6131;1,8922;41,49;65,2;40,46;1,6951;5,0815;-0,8717;0,36;22,4;14,63;22,43;-0,26;-0,71;0,65;0,35;1,69;0,10287694;30,52;17455136,68;14,9823;3,3557;3737245084,3;42,3
461;CEEE-GT;EEEL3;294,77;16,7348;42,8258;2,1877;7,3279;0,6637;9,2181;63,89;31,88;13,96;2,3359;3,8897;-0,897;0,28;13,07;3,97;4,62;0,55;1,85;0,3;0,7;2,91;-0,27244536;-8,6;;134,7425;17,6142;2864486063,75;-28,71
461;CEEE-GT;EEEL4;410,0;23,2766;33,8686;3,0428;10,1925;0,9232;9,2181;63,89;31,88;13,96;3,2491;5,4102;-1,2477;0,28;13,07;3,97;4,62;0,55;1,85;0,3;0,7;2,91;-0,37894832;-8,6;100734,67;134,7425;17,6142;2864486063,75;-28,71
496;NEOENERGIA;NEOE3;14,69;4,0368;6,2681;0,6659;1,9823;0,1938;5,9289;28,89;20,82;10,23;0,4128;3,4515;-0,2559;0,47;16,5;4,8;11,7;1,33;3,95;0,29;0,71;1,3;1,3104409;23,82;19142386,0;22,0589;3,639;17830681573,12;70,91
470;ENERGISA MATO GROSSO;ENMT3;77,98;14,0925;4,5395;4,9954;9,105;1,4331;11,1834;29,95;25,13;16,24;2,2885;18,9869;-1,9268;0,63;35,45;10,17;19,83;1,14;2,08;0,29;0,71;1,42;2,82748223;16,93;44548,0;15,6103;5,5334;17073092403,22;56,02
470;ENERGISA MATO GROSSO;ENMT4;77,98;14,0925;4,5395;4,9954;9,105;1,4331;11,1834;29,95;25,13;16,24;2,2885;18,9869;-1,9268;0,63;35,45;10,17;19,83;1,14;2,08;0,29;0,71;1,42;2,82748223;16,93;31672,11;15,6103;5,5334;17073092403,22;56,02
279;CVC BRASIL;CVCB3;4,43;-2,5381;;2,9516;-7,5374;0,2731;-9,3042;100,0;-13,42;-39,85;1,0115;-1,3122;-0,6255;0,27;-116,29;-10,76;-18,08;0,69;-1,77;0,09;0,91;0,73;0,00279322;-4,94;88625845,0;1,5009;-1,7454;1228205578,87;
308;GENERAL SHOPPING;GSHP3;22,0;-0,2431;;-0,0515;0,7154;0,0278;29,1155;71,96;38,61;-113,63;0,2762;-1,9728;-0,0332;0,1;-21,19;-11,42;3,61;;28,4;-0,54;1,54;0,92;-0,00139191;-12,81;6294,86;-427,0646;-90,4945;42432918,0;
214;PLASCAR PARTICIPAÇÕES;PLAS3;10,1;-1,4694;;-0,3603;32,2117;0,1784;95,6401;14,34;0,5;-10,85;0,1595;-0,3928;-0,2557;1,12;-24,52;-12,14;-3,41;;63,43;-0,5;1,5;0,4;0,05840851;11,76;7635,11;-28,0307;-6,8737;125496721,8;
786;TRÊS TENTOS AGROINDUSTRIAL SA;TTEN3;9,1;8,7956;0,1682;1,7447;12,0562;0,7761;11,8504;13,32;5,89;8,08;0,7106;2,8268;-2,8287;1,09;19,84;8,82;7,29;-0,03;-0,21;0,44;0,56;1,61;0,23622646;;11528301,74;5,2158;1,0346;4522860587,7;
272;UNICASA;UCAS3;2,41;4,2333;7,5353;0,8124;4,9268;0,5271;4,1954;34,72;12,82;14,92;0,6315;4,4149;-0,9138;0,83;19,19;12,45;13,42;-0,12;-0,73;0,65;0,35;1,39;0,09258318;3,58;142725,61;2,9666;0,5693;159268137,24;
327;BANCO ABC BRASIL;ABCB4;18,87;5,6954;7,4033;0,8414;5,1053;0,0818;5,1053;28,19;16,4;14,7;0,837;1,576;-0,0892;0,1;14,77;1,44;;;;0,1;0,9;2,7;0,12698346;7,15;14400432,13;22,4279;3,3132;4266320526,66;13,84
420;RAIA DROGASIL;RADL3;24,08;45,1395;1,0573;7,8726;23,7743;2,4074;24,9062;30,4;6,04;3,18;1,4358;12,6213;-5,4259;1,68;17,44;5,33;20,49;0,37;1,13;0,31;0,69;1,52;2,43260822;16,47;148755053,23;3,0587;0,5335;39778474400,0;14,5
680;BEMOBI MOBILE TECH S.A.;BMOB3;14,3;14,8799;1,4151;1,2615;13,4317;0,947;8,3337;21,73;6,83;6,16;0,9168;2,2108;-2,5712;1,03;8,48;6,36;4,58;-0,48;-5,1;0,75;0,25;3,11;0,32917702;;5051384,1;11,3354;0,961;1300000015,6;
198;CCR;CCRO3;11,08;5,3075;3,4323;1,8146;2,2185;0,4455;4,2384;59,2;54,69;22,86;1,2134;5,4816;-0,5983;0,37;34,19;8,39;17,14;1,65;2,02;0,25;0,75;1,47;0,01155582;4,14;125419943,55;6,1061;2,0876;22381600000,0;19,73
268;SPRINGS;SGPS3;1,16;-0,1277;;0,0957;-0,5523;0,0198;-8,1872;24,22;-7,26;-31,4;0,0401;0,838;-0,032;0,49;-75,0;-15,48;-6,85;1,32;-7,63;0,21;0,79;1,07;-0,00044995;-5,73;264325,94;12,115;-9,0862;58000000,0;
435;TOTVS;TOTS3;27,64;36,2209;1,1216;3,8407;27,8884;1,6094;26,5427;67,48;16,13;12,42;4,4996;5,5606;-3,9417;0,36;10,6;4,44;7,23;-0,19;-1,35;0,42;0,56;1,96;0,9851094;8,34;129351251,74;7,1966;0,7631;17058943122,84;25,27
177;TAURUS ARMAS;TASA3;12,24;2,5583;13,271;1,4304;1,7125;0,6621;2,0136;47,87;32,76;21,93;0,5611;2,7899;-2,0135;1,18;55,91;25,88;38,0;0,22;0,26;0,46;0,54;1,55;-0,17795963;26,98;729005,68;8,5571;4,7844;1582883011,36;
177;TAURUS ARMAS;TASA4;12,65;2,644;12,8408;1,4783;1,7699;0,6843;2,0136;47,87;32,76;21,93;0,5799;2,8834;-2,0809;1,18;55,91;25,88;38,0;0,22;0,26;0,46;0,54;1,55;-0,1839207;26,98;9578347,58;8,5571;4,7844;1582883011,36;
206;MRS LOGÍSTICA;MRSA3B;26,0;12,6953;1,7993;1,7148;5,7951;0,6712;7,3136;35,11;29,39;13,42;1,7031;-30,4771;-0,807;0,39;13,51;5,29;13,87;0,54;1,81;0,39;0,61;0,88;-0,66636599;6,19;2550,0;15,1617;2,048;8394098099,78;10,77
206;MRS LOGÍSTICA;MRSA5B;22,06;10,7715;2,3327;1,455;4,9169;0,5695;7,3136;35,11;29,39;13,42;1,445;-25,8586;-0,6847;0,39;13,51;5,29;13,87;0,54;1,81;0,39;0,61;0,88;-0,56538592;6,19;2256,0;15,1617;2,048;8394098099,78;10,77
206;MRS LOGÍSTICA;MRSA6B;23,06;11,2598;2,2315;1,5209;5,1398;0,5953;7,3136;35,11;29,39;13,42;1,5105;-27,0308;-0,7157;0,39;13,51;5,29;13,87;0,54;1,81;0,39;0,61;0,88;-0,59101538;6,19;4613,0;15,1617;2,048;8394098099,78;10,77
671;HBR REALTY EMPREENDIMENTOS IMOBILIARIOS;HBRE3;4,45;2,5567;;0,2441;1,3563;0,1207;3,4696;83,48;255,07;135,31;3,4594;1,7589;-0,1384;0,03;9,55;4,72;8,44;0,38;2,11;0,49;0,38;2,16;-0,00603072;;501267,1;18,2309;1,7405;459190965,45;
450;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;EQPA5;8,64;13,7978;5,6248;4,3877;9,7581;1,5019;8,6953;32,24;22,63;16,01;2,2086;11,3356;-2,3809;0,68;31,8;10,88;19,7;0,53;1,18;0,34;0,66;1,56;0,29243097;12,16;829,75;1,9691;0,6262;14707398814,09;31,52
450;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;EQPA6;10,48;16,7362;4,6372;5,3221;11,8362;1,8217;8,6953;32,24;22,63;16,01;2,6789;13,7497;-2,8879;0,68;31,8;10,88;19,7;0,53;1,18;0,34;0,66;1,56;0,35470793;12,16;;1,9691;0,6262;14707398814,09;31,52
450;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;EQPA7;8,0;12,7757;6,0748;4,0627;9,0353;1,3906;8,6953;32,24;22,63;16,01;2,045;10,496;-2,2045;0,68;31,8;10,88;19,7;0,53;1,18;0,34;0,66;1,56;0,27076942;12,16;4635,0;1,9691;0,6262;14707398814,09;31,52
450;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;EQPA3;6,65;10,6198;7,308;3,3771;7,5106;1,156;8,6953;32,24;22,63;16,01;1,6999;8,7248;-1,8325;0,68;31,8;10,88;19,7;0,53;1,18;0,34;0,66;1,56;0,22507708;12,16;211326,58;1,9691;0,6262;14707398814,09;31,52
774;G2D INVESTMENTS LTD;G2DI33;2,34;-1,0497;;0,3604;-1,0673;0,3137;-1,2472;29,87;33,83;34,4;;-5,2187;-0,3371;-0,87;-34,34;-29,89;-29,61;0,06;-0,18;0,87;0,13;0,54;0,00615808;;379040,03;6,4922;-2,2293;269231947,92;
796;CLEAR SALE S.A.;CLSA3;4,57;-9,9202;;1,1602;-6,2819;0,9315;-3,008;29,74;-27,91;-17,67;1,7533;1,5633;-3,6329;0,53;-11,69;-9,39;-17,65;-0,6;3,27;0,8;0,2;5,03;-0,04254114;;3175662,61;3,9391;-0,4607;858822094,2;
422;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA;ADHM3;1,56;-4,0874;;-1,2864;-5,69;105,123;-5,69;100,0;-13548,48;-18860,61;770,9021;-1,429;-116,1633;0,14;-31,47;-2571,9;22,61;;0,0;-81,72;82,72;0,0;-0,5811256;;;-1,2127;-0,3817;25439770,2;
258;MELHORAMENTOS;MSPA4;41,0;-8,1379;;0,3252;-13,3423;0,1844;-20,7653;32,47;-10,46;-17,14;1,3951;6,3711;-0,2004;0,13;-4,0;-2,27;-2,09;0,12;-4,85;0,57;0,43;1,57;2,69694614;-22,81;24540,0;126,0635;-5,0381;313342228,45;
258;MELHORAMENTOS;MSPA3;50,01;-9,9263;;0,3967;-16,2743;0,2249;-20,7653;32,47;-10,46;-17,14;1,7017;7,7712;-0,2444;0,13;-4,0;-2,27;-2,09;0,12;-4,85;0,57;0,43;1,57;3,2896165;-22,81;12300,5;126,0635;-5,0381;313342228,45;
373;EUCATEX;EUCA3;10,89;2,7595;6,5958;0,4891;2,4978;0,2737;3,2182;32,65;15,64;14,16;0,3908;1,7087;-0,4373;0,7;17,72;9,92;13,58;0,24;1,22;0,56;0,44;1,75;0,19874108;16,44;37559,12;22,2671;3,9463;806744178,6;61,2
373;EUCATEX;EUCA4;7,6;1,9259;10,3968;0,3413;1,7432;0,191;3,2182;32,65;15,64;14,16;0,2727;1,1925;-0,3052;0,7;17,72;9,92;13,58;0,24;1,22;0,56;0,44;1,75;0,13869901;16,44;351252,29;22,2671;3,9463;806744178,6;61,2
421;BAUMER;BALM3;11,2;4,2624;3,1902;0,8056;4,784;0,4837;3,6967;57,07;15,53;17,43;0,7429;1,072;-1,5332;0,65;18,9;11,35;12,7;-0,14;-0,83;0,6;0,4;2,93;0,01766754;3,42;1901,86;13,9019;2,6277;103880000,0;53,56
421;BAUMER;BALM4;10,0;3,8057;3,573;0,7193;4,2715;0,4319;3,6967;57,07;15,53;17,43;0,6633;0,9571;-1,3689;0,65;18,9;11,35;12,7;-0,14;-0,83;0,6;0,4;2,93;0,01577459;3,42;2937,84;13,9019;2,6277;103880000,0;53,56
411;ULTRAPAR PARTICIPAÇÕES;UGPA3;12,35;10,1387;4,7196;1,2622;5,4312;0,4043;8,5363;3,61;1,91;1,02;0,1035;2,3176;-0,8135;3,9;12,45;3,99;9,54;0,72;3,11;0,32;0,67;1,53;0,19666109;7,24;78888204,97;9,7845;1,2181;13772387538,0;-2,75
